,Rank,Name,Worth,Rise/Fall,Source of wealth
39,39 , Nathan Kirsh ,3656000000.0,628000000.0,"Cash and carry, Property and Investment"
40,40 , Sir Richard Branson and family ,3625000000.0,425000000.0,"Transport, Finance and Fitness clubs"
41,41 , Eddie and Sol Zakay ,3610000000.0,10000000.0,Property
42,42 , Sri Prakash Lohia ,3605000000.0,1797000000.0,Textiles and Plastics
43,43 , Mohsin and Zuber Issa ,3560000000.0,2360000000.0,Fuel distribution
44,44 , Mark Scheinberg ,3555000000.0,11000000.0,Gambling
45,45 , Moshe Kantor ,3488000000.0,496000000.0,Chemicals
46,46 , Carrie and Francois Perrodo and family ,3438000000.0,1129000000.0,"Oil, Gas and Wine"
47,47 , Mark Pears and family ,3300000000.0,0,Property
48,48 , Idan Ofer ,3219000000.0,285000000.0,Shipping and Industry
49,49 , Glenn Gordon and family ,3186000000.0,304000000.0,Spirits
50,50 , Sir Anwar Pervez and family ,3102000000.0,432000000.0,Cash and carry
51,51 , Sir Michael Moritz and Harriet Heyman ,3047000000.0,47000000.0,Internet
52,52 , Samuel Tak Lee and family ,2850000000.0,155000000.0,Property
53,53 , Alan Parker ,2823000000.0,23000000.0,Duty-free shopping
54,54 , Jaime Gilinski ,2656000000.0,537000000.0,Finance
55,55 , Inna Gudavadze and family ,2650000000.0,2000000000.0,Inheritance
56,56 , Bernie Ecclestone and family ,2500000000.0,0,Motor racing
57,56 , Clive Calder ,2500000000.0,500000000.0,Music
58,58 , Peter Hargreaves ,2400000000.0,646000000.0,Finance
59,59 , Alki David and the Leventis family ,2350000000.0,250000000.0,Drinks and Media
60,60 , Tony Murray and family ,2300000000.0,1060000000.0,"Plant hire, Property and Fire protection"
61,61 , The Lazari family ,2234000000.0,180000000.0,Property
62,62 , Johan Eliasch ,2200000000.0,100000000.0,Sports equipment
63,63 , Robert Miller and Princess Marie-Chantal and family ,2150000000.0,50000000.0,"Duty-free shopping, Fashion and Finance"
64,64 , Jean-Francois Decaux and family ,2123000000.0000002,1193000000.0,Media and Advertising
65,65 ," Simon, Bobby and Robin Arora ",2111000000.0000002,149000000.0,Discount stores
66,66 , Benzion Freshwater and family ,2053999999.9999998,395000000.0,Property
67,67 , Chris and Sarah Dawson ,2049999999.9999998,60000000.0,Discount stores
68,67 , Viscount Portman and family ,2049999999.9999998,0,Property
69,69 , Alejandro Santo Domingo and Lady Charlotte Wellesley ,2031000000.0000002,804000000.0,"Inheritance, Brewing and Investment"
70,70 , Eddie and Malcolm Healey ,2000000000.0,352000000.0,Property and Kitchens
71,70 , Nicholas Roditi and family ,2000000000.0,333000000.0,Investment
72,70 , Richard Desmond ,2000000000.0,600000000.0,Media and Property
73,70 , Sheikh Hamad bin Jassim Al Thani ,2000000000.0,0,Investment and Property
74,70 , Wafic Said ,2000000000.0,0,Finance and Property
75,75 , Mike Ashley ,1949000000.0,27000000.0,Sports equipment and Fashion
76,76 , Philippe Foriel-Destezet ,1913000000.0,56000000.0,Recruitment
77,77 , Bernard Lewis and family ,1900000000.0,334000000.0,Fashion and Property
78,77 , Lord Paul and family ,1900000000.0,100000000.0,Industry
79,79 , Farhad Moshiri ,1875000000.0,300000000.0,Investment and Football
80,80 , John Bloor ,1867000000.0,45000000.0,Construction and Motorcycles
81,81 , John Shaw and Kiran Mazumdar-Shaw ,1808000000.0,119000000.0,Pharmaceuticals
82,82 , Douglas and Dame Mary Perkins and family ,1800000000.0,0,Opticians
83,82 , John Christodoulou ,1800000000.0,200000000.0,Property
84,82 , Navin and Varsha Engineer ,1800000000.0,100000000.0,Pharmaceuticals
85,85 , Sir Stelios Haji-Ioannou and family ,1754000000.0,538000000.0,Aviation
86,86 , Sir Ian Wood and family ,1700000000.0,63000000.0,Oil services and Fishing
87,87 , Mohamed Al Fayed and family ,1675000000.0,25000000.0,Retailing
88,88 , Mahdi al-Tajir ,1669000000.0,9000000.0,"Metals, Oil and Water"
89,89 , Georg and Emily von Opel ,1654000000.0,0,Finance and Property
90,90 , John Whittaker and family ,1600000000.0,350000000.0,Property
91,91 , John Caudwell ,1566000000.0,10000000.0,Mobile phones
92,92 , Thor Bjorgolfsson ,1563000000.0,91000000.0,Finance and Investment
93,93 , Lord Choudrey and family ,1531000000.0,224000000.0,Cash and carry and Pharmacies
94,94 , Adam Fleming and family ,1525000000.0,0,Finance
95,95 , John Gore ,1500000000.0,0,Entertainment
96,95 , Poju and Anita Zabludowicz ,1500000000.0,0,Property and Hotels
97,95 , Sir Michael Hintze ,1500000000.0,0,Hedge fund
98,98 , Jonas and Mathias Kamprad ,1479000000.0,283000000.0,Retailing
99,99 , Will Adderley and family ,1469000000.0,49000000.0,Home furnishing
100,100 , Mark Coombs ,1420000000.0,88000000.0,Finance
101,101 , The Thomson family ,1407000000.0,6000000.0,Media
102,102 , Niklas Zennstrom ,1397000000.0,340000000.0,Internet and Software
103,103 , Tony Langley ,1395000000.0,50000000.0,Engineering
104,104 , Henry Moser and family ,1382000000.0,154000000.0,Finance
105,105 , Simon Nixon ,1350000000.0,15000000.0,Internet and Property
106,105 , Steve Lansdown ,1350000000.0,370000000.0,Finance
107,107 , Lady Ballyedmond and family ,1345000000.0,293000000.0,Pharmaceuticals
108,108 , Christoph Henkel ,1336000000.0,116000000.0,Chemicals
109,109 , Trond Mohn and Marit Mohn Westlake and family ,1325000000.0,277000000.0,Industry
110,110 , Stefan Sten Olsson ,1314000000.0,360000000.0,Shipping
111,111 , Geoffrey Warren ,1300000000.0,800000000.0,Car sales and Land
112,111 , Jon Hunt ,1300000000.0,100000000.0,Estate agency and Property
113,111 ," Raj, Tony and Harpal Matharu and family ",1300000000.0,21000000.0,Property and Hotels
114,111 , Sir Chris Hohn ,1300000000.0,100000000.0,Hedge fund
115,115 , Surinder Arora and family ,1265000000.0,136000000.0,Hotels
116,116 , Andrey Andreev ,1250000000.0,250000000.0,Internet
117,116 , Martin Moller ,1250000000.0,150000000.0,Aviation
118,116 , Sunil Vaswani and family ,1250000000.0,719000000.0,Transport and Food
119,119 , Sir Cameron Mackintosh ,1240000000.0,40000000.0,Entertainment
120,119 , Sir Terry Matthews ,1240000000.0,0,Computers
121,121 , Lord Sugar ,1210000000.0,0,Property
122,122 , Lord Grantchester and the Moores family ,1206000000.0,0,Retailing and Football pools
123,123 , Alan Howard ,1200000000.0,160000000.0,Hedge fund
124,123 , Elisabeth Murdoch ,1200000000.0,1044000000.0,Media
125,123 , Fred and Peter Done ,1200000000.0,50000000.0,Gambling
126,123 , Lord Ashcroft and family ,1200000000.0,80000000.0,Business services
127,127 , Nadhmi Auchi ,1182000000.0,6000000.0,Finance
128,128 , Mike Danson ,1170000000.0,374000000.0,Media
129,129 , Henning Conle and family ,1168000000.0,16000000.0,Property
130,130 , Martin Naughton and family ,1158000000.0,74000000.0,Household goods
131,131 , Yelena Baturina ,1144000000.0,199000000.0,Construction
132,132 , Lord Kirkham and family ,1140000000.0,10000000.0,Furniture and Investment
133,132 , Philip Day ,1140000000.0,60000000.0,Fashion
134,134 , Lady Philomena Clark and family ,1131000000.0,47000000.0,Car sales
135,135 , David and Jack Sullivan and family ,1100000000.0,50000000.0,"Property, Football and Media"
136,135 , Michael Spencer ,1100000000.0,50000000.0,Finance
137,137 , Peter Jones and family ,1092000000.0,92000000.0,Property
138,138 , Jim Mellon ,1050000000.0,50000000.0,Property and Finance
139,138 , Tony Gallagher ,1050000000.0,50000000.0,Property
140,140 , Tom Sandell ,1048000000.0,54000000.0,Finance
141,141 , Lord Edmiston ,1046999999.9999999,13000000.0,Car sales and Property
142,142 , Mahmud Kamani and family ,1030999999.9999999,132000000.0,Internet retailing
143,143 , Trevor Hemmings ,1024999999.9999999,0,Property
144,144 , Jasminder Singh and family ,1014999999.9999999,85000000.0,Hotels
145,145 , Jim McColl ,1000000000.0,70000000.0,Engineering
146,145 , Ursula Bechtolsheimer and family ,1000000000.0,0,Inheritance
147,145 , Vladimir Makhlai ,1000000000.0,0,Industry
148,148 , Urs Schwarzenbach ,976000000.0,76000000.0,Foreign exchange
149,149 , Matt Moulding and family ,960000000.0,360000000.0,Internet retailing
150,150 , Douw Steyn and family ,950000000.0,50000000.0,Insurance
151,151 , Sir Dennis and Mireille Gillings ,933000000.0,266000000.0,Pharmaceuticals
152,152 , Peter Harris and family ,932000000.0,33000000.0,Hotels and Caravan parks
153,152 , Sir David McMurtry ,932000000.0,362000000.0,Engineering
154,154 , Sir Philip and Lady Green ,930000000.0,20000000.0,Retailing
155,155 , Paul Coulson and family ,924000000.0,42000000.0,Investment
156,156 , Henri Beaufour ,921000000.0,1699000000.0,Pharmaceuticals
157,157 , Manfred Gorvy and family ,918000000.0,35000000.0,Property and Food
158,158 , The Earl of Iveagh and the Guinness family ,906000000.0,67000000.0,Brewing and Property
159,159 , David Harding ,900000000.0,120000000.0,Hedge fund
160,159 , Luke and Brian Comer ,900000000.0,20000000.0,Property
161,161 , The Duke of Devonshire ,895000000.0,5000000.0,Land
162,162 , Christina Ong and family ,878000000.0,172000000.0,Retailing and Hotels
163,163 , Sir Roger and Peter De Haan ,876000000.0,8000000.0,Travel and Insurance
164,164 , Peter and Anna Margaret Smedvig and family ,872000000.0,25000000.0,"Shipping, Oil and Gas services"
165,165 , Ellis Short ,860000000.0,0,Finance
166,165 , Henry Engelhardt and Diane Briere de l'Isle ,860000000.0,15000000.0,Insurance
167,167 , Mo Ibrahim ,859000000.0,7000000.0,Mobile phones
168,168 , Caspar MacDonald-Hall and family ,842000000.0,202000000.0,Property
169,169 , David and Patricia Thompson ,837000000.0,37000000.0,Food and Horseracing
170,170 , Crispin Odey and Nichola Pease ,825000000.0,50000000.0,Hedge fund
171,171 , Richard Caring ,820000000.0,170000000.0,Restaurants and Property
172,172 , Charles Cayzer and family ,819000000.0,198000000.0,Finance
173,173 , Peter Green and family ,805000000.0,5000000.0,Mining and Inheritance
174,174 , Bhikhu and Vijay Patel ,800000000.0,0,Pharmaceuticals
175,174 , Chris Rokos ,800000000.0,25000000.0,Hedge fund
176,174 , Lord Lloyd-Webber ,800000000.0,20000000.0,Entertainment
177,174 , Sir Paul McCartney and Nancy Shevell ,800000000.0,50000000.0,Music and Transport
178,178 , Joanne Rowling ,795000000.0,45000000.0,Novels and Films
179,179 , Sir Peter Wood ,790000000.0,0,Insurance
180,180 , Lord Laidlaw ,787000000.0,4000000.0,Conferences
181,181 , Ruth Parasol and family ,780000000.0,0,Gambling
182,182 , Prince Jonathan and Princess Gesine Doria Pamphilj ,775000000.0,0,Inheritance
183,183 , Mark Dixon ,770000000.0,156000000.0,Serviced offices
184,183 , Paul Sykes ,770000000.0,0,Property
185,183 , Sir Peter Rigby ,770000000.0,110000000.0,"Computers, Aviation and Hotels"
186,186 , James and John Martin and family ,753000000.0,32000000.0,Ejection seats
187,187 , Steve Morgan ,751000000.0,199000000.0,Construction
188,188 , Marcus Evans ,750000000.0,50000000.0,Business services
189,188 , The Duke of Bedford ,750000000.0,10000000.0,Land and Art
190,190 , Roy Richardson and family ,745000000.0,275000000.0,Property
191,191 , Stephen Butt and family ,742000000.0,17000000.0,Finance
192,192 , Viscount Rothermere and family ,738000000.0,182000000.0,Media
193,193 , Freddie Linnett and the Murphy family ,731000000.0,18000000.0,Property
194,194 , Fawn and India Rose James and family ,730000000.0,22000000.0,Property
195,194 , Sir Brian Souter and Dame Ann Gloag ,730000000.0,145000000.0,Transport
196,194 , Slavica Ecclestone ,730000000.0,0,Divorce
197,197 , Andy Brown ,728000000.0,28000000.0,Finance
198,197 , Peter Kelly ,728000000.0,300000000.0,Software
199,199 , Chris Oglesby and family ,721000000.0,54000000.0,Property
200,199 , Lord Vestey and family ,721000000.0,10000000.0,Meat
201,201 , Sir Lloyd Dorfman and family ,720000000.0,0,Foreign exchange and Property
202,202 , Yan Huo ,710000000.0,240000000.0,Hedge fund
203,203 , Ian Taylor ,700000000.0,50000000.0,Commodities and Fashion
204,203 , John Armitage ,700000000.0,100000000.0,Hedge fund
205,203 , Lawrence and Gail Jones and family ,700000000.0,0,Internet
206,203 , May Makhzoumi and family ,700000000.0,0,Industry
207,203 , Sir Evelyn and Lady de Rothschild ,700000000.0,0,Finance and Media
208,208 , Telis Mistakidis ,696000000.0,738000000.0,Commodities
209,209 ," Clinton, Spencer and John McCarthy ",681000000.0,31000000.0,Construction
210,209 , Sir Charles Dunstone ,681000000.0,95000000.0,Mobile phones
211,211 ," Bill, Will and Richard Ainscough and family ",668000000.0,52000000.0,Property
212,212 , Lance Uggla ,650000000.0,10000000.0,Finance
213,212 , Lord Rothschild ,650000000.0,174000000.0,Finance
214,212 , Robert Agostinelli ,650000000.0,45000000.0,Finance
215,215 , The Sheppard family ,649000000.0,78000000.0,Scrap metal
216,216 ," Robert, Barry and Timothy Guest ",645000000.0,0,Building supplies
217,217 , Helene and Marianne Odfjell and family ,643000000.0,100000000.0,Oil services
218,217 , The Jatania brothers ,643000000.0,0,Toiletries and Property
219,219 , David Ross ,642000000.0,26000000.0,Mobile phones and Property
220,220 , The Gibbon family ,640000000.0,6000000.0,Property
221,221 , Adrian Binks ,630000000.0,310000000.0,Business services
222,221 , Ian Wace ,630000000.0,40000000.0,Hedge fund
223,221 , Sir Paul Marshall ,630000000.0,40000000.0,Hedge fund
224,224 , Ross Turner ,628000000.0,2000000.0,Hedge fund
225,225 , Sir Tom Hunter ,625000000.0,18000000.0,Retailing and Property
226,226 , Peter Cruddas and family ,623000000.0,114000000.0,Finance
227,227 , David Wilson and family ,622000000.0,7000000.0,Construction
228,228 , Gerald Ronson and family ,610000000.0,10000000.0,Property and Fuel distribution
229,228 , Sir Martin Franklin ,610000000.0,40000000.0,Finance and Food
230,228 , William Morrison and Eleanor Kernighan and family ,610000000.0,90000000.0,Supermarkets
231,231 , Leo Noé and family ,606000000.0,6000000.0,Property
232,231 , Mark Fenwick and family ,606000000.0,94000000.0,Department stores
233,233 , David and Jonathan Rowland ,600000000.0,12000000.0,Finance
234,233 , George and Constantine Logothetis and family ,600000000.0,60000000.0,"Shipping, Property and Aviation"
235,233 , Michael Tabor ,600000000.0,26000000.0,Gambling
236,233 , Paddy McNally ,600000000.0,0,Advertising and Hospitality
237,233 , Sukhpal Singh Ahluwalia and family ,600000000.0,100000000.0,Car parts and Hotels
238,238 , John Kirkland and family ,595000000.0,10000000.0,Construction
239,239 , Ranjit and Baljinder Boparan ,593000000.0,47000000.0,Food
240,240 , Andrew Brode ,585000000.0,25000000.0,Business services
241,240 , Manny Davidson and family ,585000000.0,15000000.0,Property
242,240 , The Duke of Sutherland ,585000000.0,0,Art and Land
243,243 , Charles Gallagher and family ,581000000.0,75000000.0,Construction
244,243 , Sten Mortstedt and family ,581000000.0,189000000.0,Property
245,245 , Vladimir Kim ,579000000.0,219000000.0,Mining
246,246 , Gary Klesch ,565000000.0,45000000.0,Industry and Investment
247,247 , William Bollinger ,560000000.0,50000000.0,Hedge fund
248,248 , The Warburton family ,559000000.0,9000000.0,Baking
249,249 , David Gabbay and family ,551000000.0,0,Property
250,249 , Eli Shahmoon and family ,551000000.0,0,Property
251,251 , Aidan Brooks ,550000000.0,0,Property
252,251 , Andrew Law ,550000000.0,65000000.0,Hedge fund
253,251 , Derrick Smith ,550000000.0,18000000.0,Finance
254,251 , John Hargreaves and family ,550000000.0,50000000.0,Fashion
255,251 , Nicolai Tangen ,550000000.0,50000000.0,Hedge fund
256,256 , Alex Beard ,547000000.0,384000000.0,Commodities
257,257 , John Coulter and Ann Jones ,545000000.0,8000000.0,Jewellery and Property
258,258 , Abdul Bhatti and family ,540000000.0,0,Cash and carry
259,258 , Adalat and Arshad Chaudhary ,540000000.0,0,Cash and carry
260,260 , Rick Smith and family ,538000000.0,23000000.0,Food distribution
261,261 , Anthony Green and the Zochonis family ,536000000.0,31000000.0,Soap
262,262 , Alastair and Michael Powell ,535000000.0,20000000.0,Cables and Property
263,263 , Younus Sheikh and family ,532000000.0,77000000.0,Cash and carry
264,264 , The Walker family ,530000000.0,0,"Aviation, Steel and Property"
265,265 , Andrew Nisbet and family ,525000000.0,25000000.0,Catering equipment
266,266 , Michael Shanly ,520000000.0,80000000.0,Construction
267,267 , Mel Morris ,515000000.0,15000000.0,Games and Internet
268,268 , Lord Sainsbury and family ,512000000.0,22000000.0,Supermarkets
269,269 , Dan Craddock ,500000000.0,0,Technology and Finance
270,269 , David Pearl ,500000000.0,44000000.0,Property
271,269 , David Richwhite ,500000000.0,3000000.0,Finance
272,269 , Mark Shuttleworth ,500000000.0,0,Internet
273,269 , Michael Cornish and family ,500000000.0,0,Packaging
274,269 , Philip Gabriel and family ,500000000.0,78000000.0,Property
275,269 , The Clarke family ,500000000.0,0,Property
276,269 , Tony Tabatznik and family ,500000000.0,0,Pharmaceuticals
277,277 , Sir Jack Petchey ,493000000.0,7000000.0,Property
278,278 , Peter Stephenson and family ,489000000.0,21000000.0,Marine services
279,279 , Bhupendra Kansagra and family ,486000000.0,166000000.0,Industry and Aviation
280,280 , Alastair Salvesen and family ,472000000.0,28000000.0,"Transport, Plant hire and Fisheries"
281,281 , Mike Lynch ,469000000.0,0,Software
282,282,Rihanna ,468000000.0,New,Music and Fashion
283,283 , Sir Lindsay Owen-Jones ,467000000.0,0,Beauty products
284,284 , Alex Gerko ,464000000.0,216000000.0,Foreign exchange
285,285 , Roderick Evans and family ,462000000.0,62000000.0,Property
286,286 , Anthony Lyons ,460000000.0,0,Property
287,286 ," David, Jacqueline and Vanessa Gold ",460000000.0,10000000.0,"Lingerie, Property and Football"
288,286 , Richard Harpin ,460000000.0,71000000.0,Insurance and Repair services
289,289 , Will Roseff ,456000000.0,5000000.0,Gambling
290,290 , Martin Hughes ,455000000.0,5000000.0,Hedge fund
291,290 , Richard Koch ,455000000.0,0,Investment
292,290 , Tim and Kit Kemp ,455000000.0,45000000.0,Hotels
293,290 , Tom and Ruth Chapman ,455000000.0,0,Fashion
294,294 , Charlotte Townshend ,454000000.0,2000000.0,Inheritance
295,295 , Christopher Moran ,453000000.0,41000000.0,Finance and Property
296,296 , Felix Grovit ,450000000.0,0,Foreign exchange
297,296 , Kevin Lagan and family ,450000000.0,10000000.0,Construction
298,296 , Meeta and Amit Patel ,450000000.0,0,Pharmaceuticals
299,296 , Peter Jones ,450000000.0,40000000.0,Telecoms and Investment
300,300 , Ron Dennis ,445000000.0,5000000.0,Motor racing
301,300 , Simon Fuller ,445000000.0,10000000.0,Entertainment
302,300 , The Duke of Northumberland ,445000000.0,26000000.0,Land and Art
303,300 , The Gordon family ,445000000.0,155000000.0,Property
304,304 , The Bruce-Jones family ,442000000.0,96000000.0,Timber
305,305 , John Deer ,440000000.0,168000000.0,Engineering
306,305 , Kathy and John Murphy and family ,440000000.0,14000000.0,Construction and Property
307,307 , Endre Rosjo ,439000000.0,21000000.0,Investment
308,308 , Sir Peter Ogden ,435000000.0,53000000.0,Computers
309,309 , Dame Margaret and Helen Barbour and family ,430000000.0,35000000.0,Fashion
310,309 , Mark Halstead and family ,430000000.0,50000000.0,Flooring
311,309 , Stephen Vernon ,430000000.0,20000000.0,Property
312,312 , Nick Wheeler and Chrissie Rucker ,427000000.0,25000000.0,Retailing
313,313 , Terry Bramall and family ,425000000.0,0,Construction
314,313 , Tony Buckingham ,425000000.0,0,Oil and Diamonds
315,315 , Iris Gibbor and family ,422000000.0,0,Industry and Hotels
316,316 , The Clark family ,419000000.0,65000000.0,Footwear
317,316 , The Hoare family ,419000000.0,19000000.0,Finance
318,318 , Apurv Bagri and family ,418000000.0,69000000.0,Metals
319,319 , Stephen Conway and family ,413000000.0,75000000.0,Construction
320,320 , Agust and Lydur Gudmundsson ,410000000.0,150000000.0,Food distribution
321,320 , Andrey Borodin and Tatiana Korsakova ,410000000.0,0,Finance and Fashion
322,320 , Kuljinder Bahia and family ,410000000.0,17000000.0,Travel
323,320 , Leon Max ,410000000.0,0,Fashion
324,320 , Riccardo Zacconi ,410000000.0,15000000.0,Games
325,325 , Nigel Spokes and family ,407000000.0,92000000.0,Car hire
326,326 , Robert and Patrick Wilson ,403000000.0,39000000.0,Complementary medicine
327,326 , Tim Steiner and family ,403000000.0,35000000.0,Internet retailing
328,328 , Kartar and Tej Lalvani ,401000000.0,11000000.0,Health supplements
329,328 , Nick and Peter Gould ,401000000.0,1000000.0,Property
330,330 , Declan Ganley ,400000000.0,0,Telecoms
331,330 , Gordon Crawford ,400000000.0,0,Software
332,330 , Guy and Alex Dellal and family ,400000000.0,8000000.0,Property
333,330 , Mark Burnett and Roma Downey ,400000000.0,10000000.0,Television
334,330,The Ives family ,400000000.0,New,Steel and Property
335,335 , Bill Holmes ,399000000.0,33000000.0,Financial services
336,335 , Greg Nasmyth and family ,399000000.0,0,Business services
337,337 , Sir Michael and Dermot Smurfit and family ,397000000.0,23000000.0,Packaging and Property
338,338 , Christian Angermayer ,396000000.0,88000000.0,Finance
339,339 , Robert Rayne and family ,394000000.0,19000000.0,Property
340,340 , David Lewis and family ,390000000.0,0,Art and Property
341,340 , Peter Wilkinson ,390000000.0,0,Internet
342,340 , Simon Cowell ,390000000.0,5000000.0,Entertainment
343,340 , Terence Mordaunt ,390000000.0,10000000.0,Docks
344,340 , Vivian Imerman ,390000000.0,0,Spirits and Food
345,345 , Kelly Choi and Jérôme Castaing ,389000000.0,82000000.0,Food
346,346 , Jeremy Hosking ,385000000.0,10000000.0,Finance
347,346 , Mike Gooley ,385000000.0,25000000.0,Travel
348,348 , Ray O'Rourke and family ,380000000.0,43000000.0,Construction
349,349 , Jack Tordoff and family ,376000000.0,24000000.0,Car sales
350,350 , Michael and Xochi Birch ,375000000.0,0,Internet
351,350 , Michael Oliver and family ,375000000.0,45000000.0,Engineering
352,350 , Nick Capstick-Dale ,375000000.0,27000000.0,Property
353,353 , Fakhruddin Suterwalla and family ,373000000.0,6000000.0,Food
354,354 , David and Victoria Beckham and family ,370000000.0,15000000.0,Football and Fashion
355,355 , The Shepherd family ,369000000.0,107000000.0,Construction
356,355 , Thomas Hartland-Mackie and family ,369000000.0,0,Electrical goods
357,357 , Andy Bell ,368000000.0,8000000.0,Finance
358,357 , Morten Hoegh ,368000000.0,83000000.0,Shipping
359,359 , William Parente and family ,365000000.0,8000000.0,Inheritance
360,360,Nicolas Roach ,364000000.0,New,Hotels and Property
361,361 , Alisa Moussaieff and family ,363000000.0,13000000.0,Jewellery
362,361,Nikolay Storonsky ,363000000.0,New,Financial services
363,363 , Gert-Rudolf and Corinne Flick ,360000000.0,0,Industry
364,363 , Jonathan Hiscock ,360000000.0,10000000.0,Hedge fund
365,363 , Sir Elton John ,360000000.0,40000000.0,Music
366,363 , Sir Philip Hulme ,360000000.0,161000000.0,Computers
367,367 , Sir James Wates and family ,357000000.0,57000000.0,Construction
368,368 , Robin Faccenda and family ,356000000.0,6000000.0,Food
369,369 , Mark Creasy ,355000000.0,32000000.0,Mining
370,369 , Toto and Susie Wolff ,355000000.0,20000000.0,Motor sport and Motor racing
371,371 , Mohammed Galadari ,352000000.0,10000000.0,Property and Hotels
372,372 , Nick Leslau ,350000000.0,7000000.0,Property
373,372 , Paul Day and family ,350000000.0,25000000.0,Logistics and Property
374,372 , Peter Dawson and family ,350000000.0,33000000.0,Transport
375,372 , Sir Martyn Arbib and family ,350000000.0,0,Finance
376,372 , Steve Parkin ,350000000.0,20000000.0,Logistics
377,372 , The Queen ,350000000.0,20000000.0,Head of state
378,378 , Sir Rocco Forte and Olga Polizzi and family ,345000000.0,10000000.0,Hotels
379,378 , The Marquess of Salisbury ,345000000.0,2000000.0,Property and Art
380,380 , Christopher Mills ,342000000.0,30000000.0,Finance
381,380 , Philip Meeson ,342000000.0,155000000.0,Aviation
382,382 , Alfie Best ,341000000.0,56000000.0,Leisure
383,382 , Emma Hindle and family ,341000000.0,11000000.0,Property
384,384 , Masao Asai ,340000000.0,110000000.0,Hedge fund
385,385 , John Duffield and family ,338000000.0,3000000.0,Finance
386,386 , Jamie Cooper ,337000000.0,0,Divorce
387,386 , Laurence Kirschel ,337000000.0,2000000.0,Property
388,386 , Paul and Jeremy Eakin and family ,337000000.0,7000000.0,Medical supplies
389,389 , Clive and Steve Boultbee Brooks and family ,336000000.0,17000000.0,Property
390,389 , Colin Allen and family ,336000000.0,24000000.0,Caravan parks and Hotels
391,391 , Bob Rose and family ,335000000.0,83000000.0,Property
392,391 , Johnnie Boden and family ,335000000.0,45000000.0,Fashion and Mail order
393,393 , Mark and Mo Constantine ,334000000.0,106000000.0,Cosmetics
394,393 , Sir David Samworth and family ,334000000.0,206000000.0,Food
395,395 , Robert Marshall and family ,331000000.0,105000000.0,Defence equipment and Car sales
396,396 ," Adam, Samuel and Jonathan Kaye and family ",330000000.0,5000000.0,Restaurants
